sample_id,filepath,filename,umap_x,umap_y,latitude,longitude,file_type,size_bytes,site,camera_type
696902a9ece43907fa70abcb,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122623.jpg,20260112_122623.jpg,7.468167,8.756521,-34.16172929972222,-70.68672519972223,JPEG,5776902,Lo Castillo,ground
696902a9ece43907fa70abcc,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122625.jpg,20260112_122625.jpg,4.9068556,7.4226546,-34.16172929972222,-70.68672519972223,JPEG,5110942,Lo Castillo,ground
696902a9ece43907fa70abcd,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122628.jpg,20260112_122628.jpg,4.3955936,7.1194596,-34.16172929972222,-70.68672519972223,JPEG,5559806,Lo Castillo,ground
696902a9ece43907fa70abce,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122634.jpg,20260112_122634.jpg,7.817611,7.8540325,-34.16172929972222,-70.68672519972223,JPEG,4606646,Lo Castillo,ground
696902a9ece43907fa70abcf,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122636.jpg,20260112_122636.jpg,5.058862,8.367271,-34.16172929972222,-70.68672519972223,JPEG,5281993,Lo Castillo,ground
696902a9ece43907fa70abd0,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122641.jpg,20260112_122641.jpg,8.9220495,5.91195,-34.16172929972222,-70.68672519972223,JPEG,5248332,Lo Castillo,ground
696902a9ece43907fa70abd1,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122643.jpg,20260112_122643.jpg,8.432974,6.4800744,-34.16172929972222,-70.68672519972223,JPEG,4673950,Lo Castillo,ground
696902a9ece43907fa70abd2,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122644.jpg,20260112_122644.jpg,8.389226,8.950635,-34.16172929972222,-70.68672519972223,JPEG,5800836,Lo Castillo,ground
696902a9ece43907fa70abd3,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122646.jpg,20260112_122646.jpg,5.573522,5.589511,-34.16172929972222,-70.68672519972223,JPEG,4746767,Lo Castillo,ground
696902a9ece43907fa70abd4,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122647.jpg,20260112_122647.jpg,8.214805,8.743594,-34.16172929972222,-70.68672519972223,JPEG,5705026,Lo Castillo,ground
696902a9ece43907fa70abd5,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122649.jpg,20260112_122649.jpg,7.8891935,8.577541,-34.16172929972222,-70.68672519972223,JPEG,5581550,Lo Castillo,ground
696902a9ece43907fa70abd6,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122651.jpg,20260112_122651.jpg,7.794181,9.323324,-34.16172929972222,-70.68672519972223,JPEG,4943416,Lo Castillo,ground
696902a9ece43907fa70abd7,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122652.jpg,20260112_122652.jpg,7.295891,9.010774,-34.16172929972222,-70.68672519972223,JPEG,5263207,Lo Castillo,ground
696902a9ece43907fa70abd8,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122655.jpg,20260112_122655.jpg,9.029347,8.839082,-34.16172929972222,-70.68672519972223,JPEG,5619139,Lo Castillo,ground
696902a9ece43907fa70abd9,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122657.jpg,20260112_122657.jpg,9.189378,8.522019,-34.16172929972222,-70.68672519972223,JPEG,5429173,Lo Castillo,ground
696902a9ece43907fa70abda,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122700.jpg,20260112_122700.jpg,7.673696,9.01461,-34.16172929972222,-70.68672519972223,JPEG,5469740,Lo Castillo,ground
