source,neighbor,rank,distance,source_umap_x,source_umap_y,neighbor_umap_x,neighbor_umap_y
IMG_2003.HEIC,IMG_2015.HEIC,1,0.032409251452660416,7.206737518310547,5.032449722290039,7.236025810241699,5.01857328414917
IMG_2003.HEIC,IMG_2005.HEIC,2,0.043052438702029266,7.206737518310547,5.032449722290039,7.188511848449707,4.99344539642334
IMG_2003.HEIC,IMG_2018.HEIC,3,0.04314104080510521,7.206737518310547,5.032449722290039,7.246108531951904,5.014812469482422
IMG_2003.HEIC,IMG_2021.HEIC,4,0.06988224202385279,7.206737518310547,5.032449722290039,7.145501136779785,4.998780250549316
IMG_2003.HEIC,IMG_2019.HEIC,5,0.07317342086120053,7.206737518310547,5.032449722290039,7.176691055297852,4.965729713439941
IMG_2003.HEIC,IMG_2013.HEIC,6,0.0751955362907365,7.206737518310547,5.032449722290039,7.174484729766846,4.964522361755371
IMG_2003.HEIC,IMG_2009.HEIC,7,0.084360047068751,7.206737518310547,5.032449722290039,7.185855388641357,4.950715065002441
IMG_2003.HEIC,IMG_2020.HEIC,8,0.10816113834766135,7.206737518310547,5.032449722290039,7.166010856628418,4.932249069213867
IMG_2003.HEIC,IMG_2008.HEIC,9,0.11217629294284642,7.206737518310547,5.032449722290039,7.141071319580078,4.941502094268799
IMG_2003.HEIC,IMG_2004.HEIC,10,0.1437373536788412,7.206737518310547,5.032449722290039,7.09865140914917,4.9376983642578125
IMG_2004.HEIC,IMG_2022.HEIC,1,0.014534355621271023,7.09865140914917,4.9376983642578125,7.087076663970947,4.946488857269287
IMG_2004.HEIC,IMG_2007.HEIC,2,0.028546297103736018,7.09865140914917,4.9376983642578125,7.105760097503662,4.910051345825195
IMG_2004.HEIC,IMG_2006.HEIC,3,0.03425926609118267,7.09865140914917,4.9376983642578125,7.103650093078613,4.903805732727051
IMG_2004.HEIC,IMG_2016.HEIC,4,0.039962514801729104,7.09865140914917,4.9376983642578125,7.059250831604004,4.931020259857178
IMG_2004.HEIC,IMG_2008.HEIC,5,0.042590106397645364,7.09865140914917,4.9376983642578125,7.141071319580078,4.941502094268799
IMG_2004.HEIC,IMG_2020.HEIC,6,0.06757950858940558,7.09865140914917,4.9376983642578125,7.166010856628418,4.932249069213867
IMG_2004.HEIC,IMG_2021.HEIC,7,0.07697982730554184,7.09865140914917,4.9376983642578125,7.145501136779785,4.998780250549316
IMG_2004.HEIC,IMG_2014.HEIC,8,0.07892727965335171,7.09865140914917,4.9376983642578125,7.135064125061035,4.867672443389893
IMG_2004.HEIC,IMG_2013.HEIC,9,0.08043767374590242,7.09865140914917,4.9376983642578125,7.174484729766846,4.964522361755371
IMG_2004.HEIC,IMG_2019.HEIC,10,0.08292130551300962,7.09865140914917,4.9376983642578125,7.176691055297852,4.965729713439941
IMG_2005.HEIC,IMG_2019.HEIC,1,0.030131216934853374,7.188511848449707,4.99344539642334,7.176691055297852,4.965729713439941
IMG_2005.HEIC,IMG_2013.HEIC,2,0.0321450150559554,7.188511848449707,4.99344539642334,7.174484729766846,4.964522361755371
IMG_2005.HEIC,IMG_2009.HEIC,3,0.042812825205225565,7.188511848449707,4.99344539642334,7.185855388641357,4.950715065002441
IMG_2005.HEIC,IMG_2003.HEIC,4,0.043052438702029266,7.188511848449707,4.99344539642334,7.206737518310547,5.032449722290039
IMG_2005.HEIC,IMG_2021.HEIC,5,0.043340304416312106,7.188511848449707,4.99344539642334,7.145501136779785,4.998780250549316
IMG_2005.HEIC,IMG_2015.HEIC,6,0.05374930052319579,7.188511848449707,4.99344539642334,7.236025810241699,5.01857328414917
IMG_2005.HEIC,IMG_2018.HEIC,7,0.0614323185429659,7.188511848449707,4.99344539642334,7.246108531951904,5.014812469482422
IMG_2005.HEIC,IMG_2020.HEIC,8,0.0652018795501369,7.188511848449707,4.99344539642334,7.166010856628418,4.932249069213867
IMG_2005.HEIC,IMG_2008.HEIC,9,0.07034707114122121,7.188511848449707,4.99344539642334,7.141071319580078,4.941502094268799
IMG_2005.HEIC,IMG_2004.HEIC,10,0.10574795575589088,7.188511848449707,4.99344539642334,7.09865140914917,4.9376983642578125
IMG_2006.HEIC,IMG_2007.HEIC,1,0.006592404845383828,7.103650093078613,4.903805732727051,7.105760097503662,4.910051345825195
IMG_2006.HEIC,IMG_2004.HEIC,2,0.03425926609118267,7.103650093078613,4.903805732727051,7.09865140914917,4.9376983642578125
IMG_2006.HEIC,IMG_2022.HEIC,3,0.04578785508270603,7.103650093078613,4.903805732727051,7.087076663970947,4.946488857269287
IMG_2006.HEIC,IMG_2014.HEIC,4,0.047879599034614057,7.103650093078613,4.903805732727051,7.135064125061035,4.867672443389893
IMG_2006.HEIC,IMG_2016.HEIC,5,0.05207614527216035,7.103650093078613,4.903805732727051,7.059250831604004,4.931020259857178
IMG_2006.HEIC,IMG_2008.HEIC,6,0.05311651218180761,7.103650093078613,4.903805732727051,7.141071319580078,4.941502094268799
IMG_2006.HEIC,IMG_2020.HEIC,7,0.068541142542395,7.103650093078613,4.903805732727051,7.166010856628418,4.932249069213867
IMG_2006.HEIC,IMG_2017.HEIC,8,0.09329078180966523,7.103650093078613,4.903805732727051,7.191440582275391,4.872246265411377
IMG_2006.HEIC,IMG_2013.HEIC,9,0.09329552398328952,7.103650093078613,4.903805732727051,7.174484729766846,4.964522361755371
