sample_id,filepath,filename,umap_x,umap_y,tags,width,height,size_bytes,latitude,longitude,site,camera_type
6967ec754644523b2e554808,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_084952.jpg,20260107_084952.jpg,7.720399,4.6074896,,4032,3024,5540664,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554809,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_084954.jpg,20260107_084954.jpg,6.5084114,7.9717712,,4032,3024,5832332,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480a,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_084959.jpg,20260107_084959.jpg,7.566402,2.6068132,,4032,3024,5511896,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480b,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085002.jpg,20260107_085002.jpg,6.2389154,5.24152,,4032,3024,6581566,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480c,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085005.jpg,20260107_085005.jpg,9.907804,6.496036,,4032,3024,5886534,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480d,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085008.jpg,20260107_085008.jpg,9.976158,6.5581408,,4032,3024,6203261,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480e,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085011.jpg,20260107_085011.jpg,8.272526,2.3593178,,4032,3024,6586791,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e55480f,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085018.jpg,20260107_085018.jpg,9.107006,5.2304564,,4032,3024,6697859,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554810,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085022.jpg,20260107_085022.jpg,7.6864686,3.6047857,,4032,3024,6549167,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554811,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085025.jpg,20260107_085025.jpg,7.992907,3.1374886,,4032,3024,6409555,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554812,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085029.jpg,20260107_085029.jpg,7.3025875,2.3847976,,4032,3024,6066936,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554813,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085033.jpg,20260107_085033.jpg,7.077548,6.7615776,,4032,3024,5837853,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554814,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085040.jpg,20260107_085040.jpg,7.7303004,3.1457226,,3024,4032,6632185,-34.4736039,-70.9375583,La Capilla,ground
6967ec754644523b2e554815,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo2_ene_2026/La Capilla/Celular/20260107_085043.jpg,20260107_085043.jpg,6.879165,3.3833323,,3024,4032,6681191,-34.4736039,-70.9375583,La Capilla,ground
